Modules,Genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module1,Lypla1,Rb1cc1,Cops5,Paqr8,Dst,Fzd7,Fzd5,Plekhm3,Idh1,Tmbim1,Ap1s3,Trip12,Dgkd,Ugt1a7c,Vps4b,Serpinb11,Tfcp2l1,Cd55,AA986860,Rassf5,Slc45a3,Mfsd4a,Adora1,Atp1b1,Trp53bp2,Gata3,Mrc1,Psd4,Tor4a,Slc25a25,Ptgs1,Acvr2a,Dpp4,Dhrs9,Ctnnd1,Ptprj,Pex16,Meis2,Disp2,Spint1,Sord,Slc27a2,Bmp2,Flrt3,Ralgapa2,Xrn2,Abhd12,Bcl2l1,Commd7,Scand1,Epb41l1,Tgm2,Ralgapb,Stk4,Dbndd2,Dnttip1,Rnf114,Pard6b,Atp9a,Lama5,Arfgap1,Helz2,Pcmtd2,Ccdc120,Il13ra1,Pgrmc1,Zdhhc9,Enox2,Fmr1,Gabre,Slc6a8,Emd,Fundc2,Prkx,Foxo4,Chic1,Atp7a,Pld1,Pik3ca,Foxo1,Mme,Pear1,Pip5k1a,Ankrd35,Pias3,Ptgfrn,Rap1a,Fam102b,Pla2g12a,Manba,Nfkb1,Tspan5,Clca4b,Cryz,Cdh17,Tbc1d2,Slc44a1,Klf4,Tlr4,Ift74,Ttc22,Mknk1,Tmem125,Guca2a,Guca2b,Scmh1,Cap1,Hpcal4,Rragc,Oscp1,Tinagl1,Cnksr1,Aldh4a1,Epha2,Casp9,Mad2l2,Prkcz,Magi2,Slc5a6,Sh3tc1,Prom1,Stim2,Ugdh,Fryl,Mob1b,Parm1,Ccng2,Prkg2,Alkbh2,Kctd10,Unc119b,Taok3,Tpcn1,Brap,Muc3,Muc3a,Micall2,Rnf6,Pan3,C1galt1,Capza2,Parp12,Malsu1,Chn2,Vopp1,Tgfa,Gfpt1,Gprc5a,Emp1,Prkcg,Leng8,Ppp6r1,Gsk3a,Cyp2s1,Capn12,Pcsk6,Mctp2,Akap13,Arnt2,Prss23,Picalm,Kctd21,Capn5,Omp,P2ry2,Rras2,Smg1,Itpripl2,Tmc5,Mapk3,Taok2,Dhx32,Pwwp2b,Prap1,Rassf7,Cdhr5,Tnni2,Osbpl5,Tab2,Abracl,Tpd52l1,Foxo3,Crybg1,Tspan15,Hk1,Dnajc12,Ank3,Ube2n,Nudt4,Atp2b1,Dusp6,Tmtc2,Rpl6l,Ptprr,Gns,Pip4k2c,Suox,Efnb2,Irs2,Col4a1,Col4a2,Atp11a,Upf3a,Nek3,Rnf170,Zfp703,Atp6v1b2,Pik3r2,Pkn1,Prkaca,Mylk3,Rbl2,Cx3cl1,Csnk2a2,Cdh1,Cyb5b,Wwp2,Mlkl,Hsd17b2,Osgin1,Gse1,Dpep1,Kcnk1,Abhd6,Mapk8,Bmpr1a,Abhd4,Shisa2,Spryd7,Dpysl2,Dock5,Adam28,Rb1,Kbtbd7,Lmo7,Eepd1,Arhgap32,Vwa5a,Sorl1,Cyp1a1,4930461G14Rik,Bbs4,Thsd4,Smad3,Gcnt3,Ccpg1,Myo5a,Plscr1,Plscr4,Rasa2,Slco2a1,Sema3b,Mst1r,Uba7,Dusp18,Ppp3r1,Fbxw11,Wwc1,Pttg1,Septin8,Slc22a4,Galnt10,Lypd8,Map2k3,B9d1,Pmp22,Arhgap44,Snord118,Fgf11,Kif1c,Derl2,Myo1c,Crk,Ssh2,Taok1,Gm10277,Synrg,Tob1,Abcc3,Epn3,Itga3,Lasp1,Stat3,Atp6v0a1,Becn1,Map3k14,Smurf2,Prkca,Kcnj2,Itgb4,Cyth1,Lgals3bp,Cant1,Sectm1b,Pfkp,Btn1a1,Mboat1,Slc22a23,Pak1ip1,Glrx,Rasgrf2,Iqgap2,Naip5,Pik3r1,Map3k1,Rock2,Tspan13,Mipol1,Sos2,Ppm1a,Syt16,Rin3,Tnfaip2,Ptger4,Laptm4b,Stk3,Adcy8,Plec,Slc52a2,Mgat3,Ep300,Plxnb2,Vdr,Galnt6,Krt80,Pfdn5,Sp1,Crebbp,Anks3,Ppl,Abcc5,Thpo,Map3k13,Fam43a,Tnk2,Itgb5,Ildr1,Nfkbiz,Hlcs,Tmprss2,C2cd2,Pdpk1,Abca3,Tsc2,Gnptg,Slc44a4,Neu1,Trim40,Tnfrsf21,Fbxl17,Rab31,Nlrc4,Rasgrp3,Crim1,Sos1,Map4k3,Cox7a2l,Ppm1b,Kif5b,Rock1,Npc1,Mapre2,Ercc3,Apc,Dnajc18,Diaph1,Spink1,Sema6a,Sh3tc2,Fbxo38,Tshz1,Lrp5,Rhod,Ctsf,Map3k11,Vps37c,Gcnt1,Ermp1,Il33,Lipa,Plce1,Avpi1,Loxl4,Cnnm1,Chuk,Wbp1l,Nt5c2,Dusp5,Ablim1,Pnliprp2,Grk5,Cybrd1,Slc28a2,Oas2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module2,Atp6v1h,Phf3,Arhgef4,Abi2,Klf7,Creb1,Rpe,Kansl1l,Chpf,Epha4,Irs1,Hes6,Phlpp1,Bcl2,Epb41l5,Zranb3,Mapkapk2,Slc41a1,Elk4,Pla2g4a,Ivns1abp,Lamc1,Soat1,Slc19a2,Pogk,Tmem63a,Disp1,Lyplal1,Kctd3,Ptpn14,Mllt10,Bmi1,Rnf208,Qsox2,Notch1,Gtf3c5,Slc2a8,Fmnl2,Pkp4,Cdca7,Atf2,Agps,C1qtnf4,Madd,Lrp4,Mdk,Ext2,Shf,Bcl2l11,Slc20a1,Cenpb,Gpcpd1,Rbbp9,Foxa2,Pygb,Plagl2,Pofut1,Asxl1,Pigu,Trpc4ap,Cpne1,Phf20,Rpn2,Rprd1b,Chd6,Ift52,Serinc3,Eya2,Ncoa3,Sulf2,Bmp7,Slco4a1,Dido1,Ythdf1,Zfp185,Tab3,Igbp1,Cldn2,Acsl4,Txlng,Hccs,E2f5,Pde7a,Mecom,Mynn,Intu,Supt20,Nbea,Mfsd1,Tlr2,Adam15,Pbxip1,Tdrkh,Setdb1,Vav3,Extl2,Slc39a8,Ppp3ca,Hs2st1,Asph,Pdp1,Gne,Aldh1b1,Cachd1,Ssbp3,St3gal3,Cited4,Sytl1,Ephb2,Emc1,Iffo2,Tnfrsf1b,Mtor,Exosc10,Zbtb48,Acap3,Cdk6,Sema3c,Gnai1,Napepld,Nos3,Atg9b,Slit2,G3bp2,Klhl8,Fgfrl1,Fam222a,Bcl7a,Vps33a,Rsrc2,Scarb1,Gtf2ird1,Ephb4,Trrap,Cdk8,Ica1,Phf14,Met,Cftr,Tspan12,Ttc26,Braf,Hibadh,Ppm1k,Mob1a,Exoc6b,Copg1,Lrig1,Foxp1,Raf1,Fxyd4,Kdm5a,Tead4,Lrp6,Cdkn1b,Pthlh,Slc1a5,Ppp5c,Hif3a,Akt2,Ap2a1,Hsd17b14,Mtmr10,Cers3,Nr2f2,Fam174b,Man2a2,Fzd4,Pgm2l1,Arhgef17,P2ry6,Atg16l2,Arap1,Trim68,Smpd1,Gdpd3,Lhpp,Kcnq1,Cdkn1c,Tpcn2,Samd5,Map3k5,Cdk19,Nus1,Ranbp2,Sirt1,Syde1,Gzmm,Gng7,Ckap4,Bbs10,Lrrc8e,Map2k7,Rasa3,Kbtbd11,Slc20a2,Adam9,Ppp2cb,Casp3,Mfap3l,Palld,Psd3,Fcho1,Smad1,Cacna1a,Neto2,Katnb1,Cdh16,Slc7a6,Wwox,Piezo1,Ppp3cb,Dlg5,Ipo4,Tnfrsf10b,Rgcc,Tbc1d4,Mycbp2,Abcc4,Pcca,Cwf19l2,Kbtbd3,Slc44a2,Ilf3,Rgl3,Tbcel,Trim29,Nectin1,Bcl9l,Tmprss4,Bace1,Ppp2r1b,Snx33,Sema7a,Tle3,Car12,Atr,Nicn1,Lamb2,Wdr6,Scap,Tgfbr2,Limk2,Kremen1,Znrf3,Xbp1,Rhbdf1,Rapgef6,Rasd1,Pitpnm3,Smtnl2,Gemin4,Flot2,Nlk,Nf1,Hnf1b,Rnf43,Pip4k2b,Ppp1r1b,Grb7,Med24,Tns4,Hap1,Naglu,Plcd3,Map3k3,Axin2,Hid1,Fbf1,Rnf157,Aspscr1,Rac3,Dcxr,Wnk2,Bicd2,Sema4d,Ror2,Fgfr4,Slc25a48,Smad5,Ptch1,Slc9a3,Arsb,Mboat2,Trappc12,Sypl,Dock4,Map4k5,Atl1,Frmd6,Prkch,Hif1a,Fut8,Map3k9,Tmed8,Chga,Otub2,Bcl11b,Prkaa1,Rictor,Drosha,Oxr1,Myc,Slc45a4,Ly6f,Cbx6,Sgsm3,Zc3h7b,Arid2,Hdac7,Tmem106c,Srl,Ubn1,Prkdc,Mapk1,Abcf3,Eif4g1,Ephb3,Etv5,Spice1,Bbx,Tiam1,Hunk,Ets2,Zdhhc14,Synj2,Map3k4,Smoc2,Rgmb,Ppp2r1a,Zfp52,Mlst8,Axin1,Ly6g6e,Gnl1,Cyp39a1,Enpp5,Enpp4,Srf,Efna5,Mtcl1,Prkd3,Socs5,Taf4b,Kctd1,1700066B19Rik,Mcc,Slc12a2,Afap1l1,Adrb2,Apcdd1,Spire1,Poli,Smad4,Rin1,Pacs1,Atl3,Eml3,Fads1,Sgms1,Ffar4,Rbp4,Adra2a,Tmem182,Prox1,Tgif2,Nox1,Celsr2,Lef1,Pla2g2a,Tlr1,Acacb,Fzd9,Hspb1,Fry,Ptpro,Fah,Sez6l2,Ascl2,Hebp2,Myb,Slc16a10,Rassf9,Lgr5,Hmga2,Nkd1,Txndc16,Fgf9,Tnfrsf19,Rubcnl,Dach1,Scn2b,Stra6,Tmem108,Sema3f,Cmtm8,Pla2g3,Nefh,Hoxb8,Mpp3,Notum,Zfp457,Celsr1,Dgkg,Fgd2,Bambi,Cacnb2,Msrb2,Tcea2,Cacna1f,Pcsk1n,Taf9b,Map9,Tmeff1,Tesc,Rasal1,Fzd10,Dync1i1,Cpa2,Hoxa4,Dnaaf3,Btbd11,Hmgcll1,Trf,Gabrp,Shroom1,Sat2,Eml1,Sp8,Itgb8,Ly6c2,Cpne8,Prickle1,Amhr2,Muc20,Lrg1,Rmdn2,Aqp4,Gna14,Il1r2,Gnaz,Comp,Stc1,Slc38a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module3,Rrs1,Bag2,Pycr2,Rrp15,Ddb2,Ehd4,Nop56,Raly,Ctnnbl1,Tomm34,Rae1,Nelfcd,Mrgbp,Prpf6,Lage3,Dkc1,Morc4,Polr1e,Snora73b,Rcc2,Lyar,Fbxo21,Gusb,Bid,Exosc5,Aen,Slc22a18,R3hdm4,Tcf3,Pcid2,Fnta,Utp4,Nip7,Rnaseh2b,Rrp9,Tbrg4,Gemin5,Syngr2,Itgb1bp1,Dus4l,Akt1,Dcaf13,Mrpl13,Them6,Slc48a1,Cers5,Rrp1b,C2,Ccnd3,Nolc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module4,Rpl7,Rpl31,Eef1b2,Rpl37a,Rpl12,Rpl35,Rps21,Rpl39,Rpl10,Rps4x,Rpl36a,Rpl22l1,Rps3a1,Rps27,Rpl34,Rps20,Sec61b,Rps6,Rps8,Ybx1,Eno1,Rpl22,Rplp0,Rpl6,Rpl32,Rps9,Rpl28,Rps5,Rps19,Rps16,Rps11,Rpl18,Rps17,Rps3,Rpl27a,Rps13,Rps15a,Rps12,Mif,Rps15,Eef2,Naca,Rpl41,Rps26,Uba52,Rpl18a,Rpl13,Rpl15,Rps24,Tpt1,Gm10076,Rps25,Rplp1,Rpl4,Eef1a1,Rpl29,Rpsa,Rpl14,Rack1,Rpl26,Rpl23a,Rpl23,Rpl19,Rpl27,Rpl38,Rps23,Btf3,Rps7,Rps29,Rpl36al,Rpl37,Rpl30,Pabpc1,Eif3h,Rpl8,Rpl3,Rpl35a,Rpl24,Gm9843,Rps2,Rpl10a,Rps28,Rps18,Rps14,Rpl17,Gstp1,Fau,Eef1g,Pgam1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module5,Rdh10,Ly96,Lman2l,Txndc9,Map4k4,Fhl2,Fn1,Stk36,Wnt6,Arl4c,Lrrfip1,Ramp1,Bok,Serpinb5,Dyrk3,Srgap2,Ctse,Nuak2,Csrp1,Phlda3,Tnnt2,Camsap2,Ptgs2,Kifap3,Pbx1,Aim2,Cep170,Enah,Nenf,Fam107b,Ehmt1,Ptgds,Gpsm1,Ier5l,Fnbp1,Ass1,Rbm43,Acvr1,Itgb6,Rbms1,Sestd1,Pacsin3,Accs,Trim44,Cd44,Lpcat4,Thbs1,Bmf,Mal,Il1a,Prnp,Fermt1,H13,Cdk5rap1,Dynlrb1,Map1lc3a,Eif6,Ndrg3,Acot8,Stau1,Nfatc2,Rtf2,Pmepa1,Stx16,Ogfr,Gid8,Tpd52l2,Porcn,Lamp2,Cd99l2,Flna,Pls3,Las1l,Msn,Ophn1,Maged2,Sat1,Sh3kbp1,Trappc2,Erdr1,Pkia,Zc2hc1a,Fabp5,Skil,Anxa5,Proser1,Wwtr1,Lxn,Gask1b,Lmna,Lor,Sprr1a,Mllt11,Cdc42se1,Adamtsl4,Ecm1,Notch2,Vangl1,Tspan2,Cttnbp2nl,Inka2,Wdr47,Cnn3,F3,Cfi,Npnt,Ddit4l,Clca3b,Ccn1,Prkacb,Wls,Tgfbr1,Msantd3,Zfp618,Lurap1l,Plin2,Fggy,Rnf11,Pik3r3,Map7d1,Gjb3,Gjb4,S100pbp,Marcksl1,Sfn,Paqr7,Ncmap,Rcan3,Camk2n1,Padi2,Fbxo2,Steap2,Srpk2,Tomm7,Cdk5,Smarcd3,Galnt11,Mpv17,Mxd4,Rgs12,Afap1,Sorcs2,Psapl1,Cwh43,Chic2,Cxcl5,Cxcl1,Cdkl2,Antxr2,Hpse,Ift81,Orai1,Tctn2,Fam20c,Lfng,Cyth3,Atp6v1f,Smo,Exoc4,Akr1b10,Zyx,Nfe2l3,Ggct,Gadd45a,Tacstd2,Vamp5,Rab11fip5,Wnt7a,Xpc,Srgap3,Camk1,Tmem40,Ift122,Cd9,Gabarapl1,Pik3c2g,Cmas,Kras,Itpr2,Ppfibp1,Ccdc91,Sinhcaf,Eps8l1,Ehd2,Klc3,Gemin7,Bcl3,Pvr,Plaur,Rabac1,Tgfb1,Blvrb,Pld3,Psmd8,Capns1,Fxyd3,Napsa,Ntf5,Cyfip1,Nipa1,Igf1r,Isg20,Mfge8,Zscan2,Rab38,Tenm4,Trim3,Parva,Nucb2,Rbbp6,Nupr1,Inpp5f,Ptpre,Adam8,Pnpla2,Cd151,Cd81,Stx11,Tnfaip3,Sgk1,Ccn2,Ptprk,Cd24a,Ddit4,Zwint,Prmt2,Col18a1,Cstb,Tpgs1,Cnn2,Gadd45b,Tle6,Elk3,Phlda1,Glipr1,Ptprb,Rap1b,Srgap1,Arhgef18,Ctxn1,Spaca7,Erich1,Ap3m2,Golga7,Tcim,Rbpms,Tusc3,Tlr3,Sorbs2,Homer3,Myo9b,Tpm4,Tmem184c,Gipc1,Prdx2,Junb,Rpgrip1l,Kifc3,Cklf,Nae1,Il34,Znrf1,Tmem231,Plcg2,Cdh13,Gas8,Acta1,Vcl,Arhgef3,Ccdc66,Anxa8,Rnase1,Rem2,Spata13,Hr,Nudt18,Dok2,Lpar6,Sucla2,Zc3h13,Tsc22d1,Scel,Farp1,Msantd4,Maml2,Sesn3,Amotl1,S1pr2,Bbs9,Barx2,Ets1,Esam,Cadm1,Cryab,Cib2,Acsbg1,Cd276,Paqr5,Oaz2,Tpm1,Bnip2,Cgnl1,Myo5c,Gnb5,Sh3bgrl2,Tpbg,Ctsh,Amotl2,Dusp7,Pcbp4,Tex264,Plxnb1,Rbms3,Vill,Acvr2b,Tmem17,Rel,Rtn4,Sh3pxd2b,Ubtd2,Kif3a,Anxa6,Snap47,Mapk7,Chd3,Trp53,Chrnb1,Cxcl16,Med31,Smg6,Stxbp4,Arhgap23,Stard3,Igfbp4,Krt23,Krt14,Cnp,Ccdc103,Sox9,Sphk1,Timp2,Baiap2,Inhba,Sox4,Foxq1,Tubb2b,Edn1,Fgd3,Gadd45g,Tspan17,Txndc15,Gkap1,Slc28a3,Ctla2a,Ctsl,Tert,F2rl1,Arhgef28,Plk2,Fst,Itga2,Parp8,Dnmt3a,Rhob,Sdc1,Wdr35,Arl4a,Srp54c,Nfkbia,Nin,Jkamp,Hspa2,Max,Actn1,Ift43,Irf2bpl,Foxn3,Evl,Crip2,Macc1,Amacr,Basp1,Rrm2b,Fzd6,Tnfrsf11b,Fbxo32,Myh9,Card10,Cdc42ep1,Csnk1e,Pdgfb,Ttll1,Bik,Tspo,Atxn10,Wnt7b,Mapk11,Cacnb3,Tuba1a,Calcoco1,Vasn,Emp2,Litaf,Snn,Hes1,Pak2,Upk1b,Alcam,Filip1l,St3gal6,Sod1,Runx1,Tnfrsf12a,Prss22,Rab26,Slc9a3r2,Haghl,Ergic1,Rsph1,Tnf,Ier3,Ppp1r18,Ppp1r11,9130008F23Rik,Slc25a27,Ptk7,Ptprs,Gtf2f1,Twsg1,Dlgap1,Tgif1,Dhx57,Dync2li1,Rprd1a,Reep5,Ecscr,Cd14,Gnpda1,Ppp2r2b,Dpysl3,Tnfaip8,Ppic,Smad7,Smad2,Rps6kb2,Clcf1,Sptbn2,Rbm4b,Fam89b,Tmem132a,Dtx4,Anxa1,Pten,Ankrd1,Myof,Tm9sf3,Sfxn3,Nfkb2,Arl3,Plekhs1,Slc4a3,Sertad4,Ell3,Pcyt1b,Zc4h2,Zfp704,Nes,Mex3a,Muc1,Csf1,Nexn,Tead2,Rassf10,Plau,Il17rd,Pik3ip1,Fam171a2,Fzd2,Pitpnc1,Kif3c,Capsl,Pou6f1,St6gal1,Clic6,Cbs,Notch3,Ubd,Nme5,Lemd1,Mndal,Ifi202b,Cxcl2,Lypd3,Zbtb7c,Col9a3,Thbs3,Ivl,Hcar2,Klra4,Klk8,Rasl10a,Abtb2,Palmd,Ppbp,Akap12,Sacs,Fam167a,Csf2,Pyy,Dhh,Ltf
Module6,Mcm3,Rab23,Bard1,Hjurp,Mcm6,Fam72a,Ube2t,Kif14,Aspm,BC055324,Nuf2,Exo1,Cenpf,Nsl1,Dtl,Nek2,Mastl,Zmynd19,Nrarp,Exosc2,Pbx3,Spc25,Ssrp1,Kif18a,Knstrn,Rpusd2,Rad51,Nusap1,Wdr76,Ncaph,Bub1,Ckap2l,Cdc25b,Pcna,Mcm8,Nxt1,Gins1,Tpx2,E2f1,Dsn1,Rbl1,Fam83d,Mybl2,Ube2c,Cse1l,Aurka,Rbmx2,Pola1,Kif4,Ercc6l,Cenpi,Fancb,Ect2,Ccna2,Plk4,Mlf1,Smc4,Iqgap3,Gstcd,Cenpe,Depdc1a,Rad54b,Kif24,Fancg,Arhgef39,Melk,Smc2,Cdk5rap2,Psip1,Haus6,Rad54l,Nasp,Kif2c,Cdc20,Clspn,Rpa2,Xrcc2,Cad,Ncapg,Dck,Cdc7,Ccdc18,Pole,Ung,Camkk2,Kntc1,Mphosph9,Ccdc92,Tpst1,Mcm7,Hsph1,Brca2,Rfc3,Tmem209,Ezh2,Mad2l1,Mcm2,Nup210,Rad18,Mbd4,Ncapd2,Rad51ap1,Foxm1,Ube2s,Lig1,Haus5,Ccne1,Pold1,Zfp473,Prc1,Blm,Ddias,Pold3,Rrm1,Arl6ip1,Palb2,Plk1,Kif22,Mki67,Tube1,Dna2,Cdk1,Parpbp,Nup37,Tmpo,E2f7,Mdm1,Prim1,Timeless,Cdk2,Shcbp1,Tubgcp3,Ckap2,Neil3,Map1s,Mcm5,Asf1b,Syce2,Gins3,Cenpn,Gins2,Nup133,Wdhd1,Dlgap5,Haus4,Ska3,Pbk,Esco2,Cdca2,Med4,Diaph3,Bora,Ipo5,Dnmt1,Anln,Chek1,Lrrc49,Kif23,Zwilch,Tipin,Pif1,Ttk,Topbp1,Traip,Ip6k2,Pold2,Hus1,Fignl1,Hmmr,Tcf7,Shmt1,Pfas,Aurkb,Pimreg,Spag5,Atad5,Slfn9,Prr11,Ska2,Trim37,Cdc6,Top2a,Psmc3ip,Brca1,Kif18b,Nup85,Mtr,Gmnn,Cenpp,Cks2,Zfp367,Trip13,Utp15,Ccnb1,Kif2a,Gen1,Grhl1,Rrm2,Mis18bp1,Pole2,Efcab11,Ncapg2,Cdca7l,Mtbp,Gtse1,Troap,Racgap1,Espl1,Nde1,Mcm4,Ccdc14,Chaf1b,Ripply3,Ccnf,Chtf18,Metrn,Wdr90,Kifc5b,Tcf19,Nrm,Uhrf1,Msh2,Kif20a,Cdc25c,Tubb6,Cep76,Cep192,Ska1,Cdca5,Incenp,Fen1,Kif20b,Kif11,Cep55,Hells,Arhgap19,Gatm,Alms1,Rtkn2,Rad51c,Gm10184,Fam111a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module7,Gsta3,Pax8,Clic3,Sh3glb2,Mapkap1,Pank2,Klhl13,Tm4sf1,Tm4sf4,Arl14,Sptssb,S100a1,S100a13,Sprr2a3,Gclm,Fabp2,Txn1,Pdzk1ip1,Oas1f,Akr1b8,Snx10,Prr15,Gng12,2200002D01Rik,Tulp2,Vnn1,Mettl7b,Vdac2,Sftpd,Esd,Commd6,Smad6,Gclc,Gsta4,Gsta1,Gm3776,Ccdc12,Efemp1,Aldh3a1,Spns3,Abi3,Gngt2,Unc13d,Serpinb9b,Immp2l,Anxa13,Psca,Gsdmd,Pla1a,Sult1c2,Cystm1,Aldh3b1,Cdc42ep2,Bad,Ms4a10,Gsto1,Spag6l,Tff2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module8,Khdc1a,Prim2,Eif2s2,Car2,Pfn2,Lamtor3,Tpm2,Ctnnbip1,Gm1673,Hopx,Sgsm1,Ly6e,Ly6a,Ly6c1,Impa2,pEGFP,Wfdc2,Bex1,Atp6v0e2,Cavin3,Aqp5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
